name,link,price,review_count,review_percentage,game_tags,Review_Category
PANICORE,https://store.steampowered.com/app/2695940/PANICORE/?snr=1_7_7_230_150_13,2.99,151,77,"['Horror', 'Online Co-Op', 'Psychological Horror', 'Action Roguelike', 'PvE', 'First-Person', 'Singleplayer', 'Multiplayer', 'Action-Adventure', 'Roguelite', 'Action', 'Stealth', 'Casual', 'Atmospheric', 'Psychological', 'Co-op', 'Dark', 'Adventure', 'Survival', 'Indie']",0-250
SKALD: Against the Black Priory,https://store.steampowered.com/app/1069160/SKALD_Against_the_Black_Priory/?snr=1_7_7_230_150_14,7.99,173,94,"['Strategy', 'Singleplayer', 'Exploration', 'Minimalist', 'Atmospheric', 'Horror', 'Story Rich', 'Turn-Based Strategy', 'Character Customization', 'RPG', 'CRPG', 'Fantasy', 'Party-Based RPG', 'Old School', 'Magic', 'Action-Adventure', 'Choices Matter', 'Adventure', 'Class-Based', 'Dark Fantasy']",0-250
Casino Simulator,https://store.steampowered.com/app/2898270/Casino_Simulator/?snr=1_7_7_230_150_17,2.49,52,88,"['Casual', 'Simulation', 'Life Sim', 'FPS', '3D', 'First-Person', 'Economy', 'Building', 'Early Access', 'Physics', 'Tabletop', 'Singleplayer']",0-250
Internet Cafe & Supermarket Simulator 2024,https://store.steampowered.com/app/2738380/Internet_Cafe__Supermarket_Simulator_2024/?snr=1_7_7_230_150_18,5.99,162,83,"['Simulation', '3D', 'Building', 'Time Management', 'Management', 'Life Sim', 'RPG', 'Physics', 'Economy', 'Casual', 'First-Person', 'Modern', 'Inventory Management', 'Early Access', 'Indie', 'Resource Management', 'Singleplayer', 'Grand Strategy', 'Sandbox', 'Exploration']",0-250
Trans-Siberian Railway Simulator,https://store.steampowered.com/app/998400/TransSiberian_Railway_Simulator/?snr=1_7_7_230_150_20,10.49,188,92,"['Early Access', 'Simulation', 'Trains', 'Survival', 'Driving', 'Open World Survival Craft', 'First-Person', 'Adventure', 'Open World', 'Realistic', 'Action', 'Casual', 'Singleplayer', 'Exploration', 'Action-Adventure', 'Atmospheric', 'Building', 'Inventory Management', 'Dark', 'Indie']",0-250
You are the Judge!,https://store.steampowered.com/app/2305180/You_are_the_Judge/?snr=1_7_7_230_150_23,4.99,121,50,"['Strategy RPG', 'Indie', 'Choose Your Own Adventure', 'Political Sim', 'Immersive Sim', 'Diplomacy', 'RPG', 'Political', 'Investigation', 'Strategy', 'Character Customization', '2D', 'Simulation', '3D', 'Choices Matter', 'Singleplayer', 'Text-Based', 'Alternate History', 'Multiple Endings', 'Story Rich']",0-250
ContractVille,https://store.steampowered.com/app/2698780/ContractVille/?snr=1_7_7_230_150_23,10.49,16,93,"['Early Access', 'Casual', 'Simulation', 'Multiplayer', 'Online Co-Op', 'Open World', 'Building', 'Relaxing', 'Immersive Sim', 'Driving', 'City Builder', 'Economy', 'Management', 'Character Customization', 'First-Person', 'Base Building', 'Resource Management', 'Modern', 'Life Sim', 'Female Protagonist']",0-250
"Command & Conquer Red Alert™, Counterstrike™ and The Aftermath™",https://store.steampowered.com/app/2229840/Command__Conquer_Red_Alert_Counterstrike_and_The_Aftermath/?snr=1_7_7_230_150_24,19.88,106,82,"['Strategy', 'Action', 'RPG', 'Singleplayer', 'Action RTS', 'RTS', 'Classic']",0-250
Command & Conquer™ and The Covert Operations™,https://store.steampowered.com/app/2229830/Command__Conquer_and_The_Covert_Operations/?snr=1_7_7_230_150_24,19.88,132,85,"['Action', 'Strategy', 'Singleplayer', 'RTS', 'Action RTS', 'Classic']",0-250
Beach Club Simulator 2024,https://store.steampowered.com/app/2856030/Beach_Club_Simulator_2024/?snr=1_7_7_230_150_25,3.99,106,83,"['Early Access', 'Simulation', 'Immersive Sim', 'Life Sim', 'Dating Sim', 'Automobile Sim', 'Walking Simulator', 'Exploration', '3D', 'First-Person', 'Realistic', 'Colorful', 'Cute', 'Cinematic', 'Third Person', 'Driving', 'Atmospheric', 'Submarine', 'Nature', 'Building']",0-250
